iter	Passed	Remaining
1309	708976	373430
1310	709530	372895
1311	710101	372370
1312	710656	371836
1313	711172	371282
1314	711742	370755
1315	712279	370211
1316	712858	369690
1317	713416	369158
1318	714000	368638
1319	714567	368110
1320	715049	367538
1321	715581	366992
1322	716171	366476
1323	716690	365923
1324	717271	365402
1325	717842	364876
1326	718418	364352
1327	718914	363788
1328	719436	363236
1329	719956	362684
1330	720547	362168
1331	721112	361639
1332	721695	361118
1333	722183	360550
1334	722728	360010
1335	723300	359484
1336	723879	358961
1337	724414	358417
1338	724925	357860
1339	725444	357308
1340	725939	356744
1341	726465	356195
1342	727028	355664
1343	727589	355132
1344	728154	354603
1345	728718	354072
1346	729283	353542
1347	729836	353006
1348	730390	352471
1349	730899	351914
1350	731357	351333
1351	731877	350781
1352	732431	350246
1353	732938	349688
1354	733456	349136
1355	733936	348565
1356	734503	348036
1357	735072	347508
1358	735583	346952
1359	736144	346421
1360	736641	345858
1361	737213	345332
1362	737801	344812
1363	738329	344265
1364	738894	343734
1365	739429	343190
1366	739964	342646
1367	740517	342110
1368	741004	341544
1369	741509	340985
1370	742070	340453
1371	742564	339890
1372	743100	339347
1373	743643	338807
1374	744172	338260
1375	744715	337719
1376	745285	337191
1377	745803	336640
1378	746346	336099
1379	746899	335563
1380	747454	335028
1381	747971	334476
1382	748500	333929
1383	749069	333400
1384	749643	332874
1385	750214	332346
1386	750768	331810
1387	751337	331281
1388	751891	330745
1389	752391	330186
1390	753006	329677
1391	753530	329128
1392	754102	328600
1393	754670	328070
1394	755234	327538
1395	755766	326993
1396	756327	326460
1397	756892	325929
1398	757476	325406
1399	758075	324889
1400	758681	324375
1401	759306	323869
1402	759897	323348
1403	760534	322847
1404	761099	322316
1405	761667	321785
1406	762257	321264
1407	762822	320732
1408	763387	320200
1409	763899	319645
1410	764467	319114
1411	765053	318591
1412	765613	318057
1413	766181	317526
1414	766728	316986
1415	767289	316452
1416	767818	315905
1417	768348	315358
1418	768866	314807
1419	769431	314274
1420	769989	313739
1421	770542	313202
1422	771080	312658
1423	771638	312123
1424	772097	311548
1425	772670	311018
1426	773278	310503
1427	773876	309984
1428	774374	309424
1429	774863	308861
1430	775423	308326
1431	775959	307782
1432	776482	307233
1433	777040	306697
1434	777617	306169
1435	778135	305618
1436	778655	305068
1437	779213	304532
1438	779819	304015
1439	780294	303447
1440	780816	302898
1441	781387	302367
1442	781890	301810
1443	782350	301237
1444	782919	300706
1445	783471	300168
1446	784065	299646
1447	784530	299075
1448	785017	298512
1449	785571	297975
1450	786165	297453
1451	786619	296878
1452	787253	296371
1453	787840	295846
1454	788408	295314
1455	788964	294778
1456	789567	294258
1457	790131	293724
1458	790695	293191
1459	791227	292645
1460	791700	292078
1461	792252	291540
1462	792792	290997
1463	793313	290448
1464	793920	289930
1465	794426	289375
1466	794889	288804
1467	795363	288238
1468	795928	287704
1469	796483	287167
1470	797005	286618
1471	797559	286080
1472	798131	285550
1473	798700	285017
1474	799263	284483
1475	799764	283927
1476	800276	283374
1477	800764	282813
1478	801349	282287
1479	801937	281761
1480	802463	281214
1481	802959	280656
1482	803560	280135
1483	804131	279603
1484	804699	279070
1485	805335	278561
1486	805945	278043
1487	806532	277516
1488	807127	276992
1489	807653	276445
1490	808271	275929
1491	808871	275406
1492	809403	274861
1493	809970	274327
1494	810469	273770
1495	811015	273229
1496	811580	272695
1497	812174	272170
1498	812754	271641
1499	813278	271092
1500	813837	270556
1501	814425	270029
1502	814924	269472
1503	815550	268958
1504	816136	268430
1505	816720	267901
1506	817252	267356
1507	817896	266846
1508	818462	266312
1509	819059	265787
1510	819647	265259
1511	820196	264719
1512	820770	264187
1513	821290	263637
1514	821793	263082
1515	822362	262548
1516	822911	262007
1517	823525	261488
1518	824024	260931
1519	824545	260382
1520	825092	259841
1521	825668	259309
1522	826136	258744
1523	826638	258188
1524	827142	257634
1525	827714	257101
1526	828278	256565
1527	828858	256034
1528	829406	255494
1529	829910	254939
1530	830473	254403
1531	831016	253861
1532	831547	253315
1533	832149	252791
1534	832719	252257
1535	833274	251718
1536	833833	251180
1537	834385	250641
1538	834956	250107
1539	835390	249532
1540	835881	248974
1541	836492	248452
1542	837067	247919
1543	837629	247382
1544	838133	246828
1545	838723	246300
1546	839193	245736
1547	839754	245199
1548	840280	244652
1549	840816	244107
1550	841383	243572
1551	841954	243038
1552	842520	242502
1553	843105	241972
1554	843609	241418
1555	844177	240883
1556	844712	240338
1557	845254	239796
1558	845777	239248
1559	846367	238719
1560	846876	238167
1561	847451	237633
1562	848042	237104
1563	848591	236563
1564	849176	236033
1565	849746	235498
1566	850222	234936
1567	850784	234399
1568	851324	233856
1569	851904	233324
1570	852428	232776
1571	853019	232247
1572	853596	231713
1573	854159	231176
1574	854687	230629
1575	855245	230091
1576	855828	229559
1577	856372	229017
1578	856947	228483
1579	857482	227938
1580	858014	227392
1581	858521	226840
1582	859060	226297
1583	859619	225758
1584	860147	225212
1585	860713	224675
1586	861263	224134
1587	861785	223586
1588	862306	223038
1589	862847	222495
1590	863408	221957
1591	863921	221407
1592	864456	220862
1593	865027	220326
1594	865549	219779
1595	866112	219241
1596	866664	218701
1597	867272	218174
1598	867715	217607
1599	868236	217059
1600	868745	216507
1601	869324	215974
1602	869834	215423
1603	870389	214884
1604	870955	214347
1605	871522	213810
1606	872039	213261
1607	872547	212710
1608	873106	212171
1609	873652	211630
1610	874265	211104
1611	874856	210573
1612	875452	210043
1613	876045	209512
1614	876620	208977
1615	877186	208440
1616	877789	207911
1617	878299	207361
1618	878863	206823
1619	879390	206276
1620	879909	205728
1621	880484	205193
1622	881056	204657
1623	881625	204120
1624	882199	203584
1625	882799	203054
1626	883325	202507
1627	883941	201981
1628	884483	201438
1629	884955	200879
1630	885516	200340
1631	886087	199804
1632	886656	199267
1633	887198	198723
1634	887648	198160
1635	888194	197617
1636	888661	197058
1637	889116	196495
1638	889676	195956
1639	890195	195408
1640	890719	194861
1641	891208	194307
1642	891729	193759
1643	892291	193221
1644	892865	192685
1645	893472	192156
1646	894049	191620
1647	894607	191081
1648	895169	190542
1649	895778	190013
1650	896354	189477
1651	896918	188939
1652	897432	188390
1653	897994	187851
1654	898425	187285
1655	898879	186723
1656	899453	186187
1657	899896	185623
1658	900489	185091
1659	901074	184557
